annual_revenue,billing,billing.amount,billing.currency,billing.plan,created_at,domain,email,employee_count,id,industry,integrations,integrations.hubspot,integrations.salesforce,integrations.slack,metadata,metadata.account_manager,metadata.priority,metadata.region,metadata.support_level,metadata.tier,name,updated_at
168427460,,,,,2023-03-22T00:00:00Z,techsolutions.example,contact0@techsolutions.example,944,1000,technology,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Sarah Johnson"", ""region"": ""west"", ""priority"": 2}",Sarah Johnson,2,west,standard,starter,Tech Solutions Inc #0,2023-07-07T00:00:00Z
186433701,"{""plan"": ""monthly"", ""amount"": 7498, ""currency"": ""USD""}",7498,USD,monthly,2023-09-25T00:00:00Z,greenenergy.example,contact1@greenenergy.example,392,1001,renewable_energy,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Casey Miller"", ""region"": ""central"", ""priority"": 3}",Casey Miller,3,central,standard,enterprise,Green Energy Co #1,2023-11-20T00:00:00Z
160440895,,,,,2023-11-16T00:00:00Z,creativedesign.example,contact2@creativedesign.example,378,1002,design,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Alex Thompson"", ""region"": ""west"", ""priority"": 5}",Alex Thompson,5,west,basic,enterprise,Creative Design Studio #2,2024-04-15T00:00:00Z
190075745,,,,,2023-05-04T00:00:00Z,globallogistics.example,contact3@globallogistics.example,51,1003,logistics,"{""salesforce"": true, ""hubspot"": true, ""slack"": false}",True,True,False,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Sarah Johnson"", ""region"": ""north"", ""priority"": 4}",Sarah Johnson,4,north,basic,professional,Global Logistics LLC #3,2023-09-05T00:00:00Z
49248993,"{""plan"": ""monthly"", ""amount"": 1921, ""currency"": ""USD""}",1921,USD,monthly,2024-01-24T00:00:00Z,healthwellness.example,contact4@healthwellness.example,798,1004,healthcare,"{""salesforce"": false, ""hubspot"": false, ""slack"": true}",False,False,True,"{""tier"": ""professional"", ""support_level"": ""premium"", ""account_manager"": ""Lisa Wang"", ""region"": ""east"", ""priority"": 3}",Lisa Wang,3,east,premium,professional,Health & Wellness Center #4,2024-07-03T00:00:00Z
100657637,"{""plan"": ""monthly"", ""amount"": 6749, ""currency"": ""USD""}",6749,USD,monthly,2024-04-19T00:00:00Z,innovativesoftware.example,contact5@innovativesoftware.example,54,1005,software,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Lisa Wang"", ""region"": ""south"", ""priority"": 1}",Lisa Wang,1,south,premium,enterprise,Innovative Software Labs #5,2024-06-12T00:00:00Z
199776078,,,,,2023-05-26T00:00:00Z,artisancoffee.example,contact6@artisancoffee.example,866,1006,food_beverage,"{""salesforce"": true, ""hubspot"": false, ""slack"": false}",False,True,False,"{""tier"": ""starter"", ""support_level"": ""basic"", ""account_manager"": ""Morgan Davis"", ""region"": ""north"", ""priority"": 2}",Morgan Davis,2,north,basic,starter,Artisan Coffee Roasters #6,2023-08-21T00:00:00Z
199176924,,,,,2023-09-24T00:00:00Z,edupublishing.example,contact7@edupublishing.example,514,1007,education,,,,,"{""tier"": ""enterprise"", ""support_level"": ""premium"", ""account_manager"": ""Morgan Davis"", ""region"": ""central"", ""priority"": 5}",Morgan Davis,5,central,premium,enterprise,Educational Publishing House #7,2024-04-05T00:00:00Z
75656639,,,,,2023-09-19T00:00:00Z,sustainablefashion.example,contact8@sustainablefashion.example,894,1008,fashion,,,,,"{""tier"": ""enterprise"", ""support_level"": ""standard"", ""account_manager"": ""Taylor Brown"", ""region"": ""south"", ""priority"": 3}",Taylor Brown,3,south,standard,enterprise,Sustainable Fashion Brand #8,2024-01-19T00:00:00Z
152596795,,,,,2023-09-14T00:00:00Z,advancedmfg.example,contact9@advancedmfg.example,486,1009,manufacturing,,,,,"{""tier"": ""professional"", ""support_level"": ""basic"", ""account_manager"": ""Jordan Lee"", ""region"": ""east"", ""priority"": 5}",Jordan Lee,5,east,basic,professional,Advanced Manufacturing Corp #9,2023-10-13T00:00:00Z
25948541,,,,,2023-10-09T00:00:00Z,digitalmarketing.example,contact10@digitalmarketing.example,688,1010,marketing,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""north"", ""priority"": 5}",Emily Rodriguez,5,north,basic,enterprise,Digital Marketing Agency #10,2024-02-05T00:00:00Z
82257747,,,,,2023-09-10T00:00:00Z,cloudservices.example,contact11@cloudservices.example,258,1011,cloud_computing,,,,,"{""tier"": ""enterprise"", ""support_level"": ""basic"", ""account_manager"": ""Emily Rodriguez"", ""region"": ""north"", ""priority"": 2}",Emily Rodriguez,2,north,basic,enterprise,Cloud Services Provider #11,2024-01-24T00:00:00Z
124671026,,,,,2023-09-04T00:00:00Z,biotechresearch.example,contact12@biotechresearch.example,403,1012,biotechnology,,,,,"{""tier"": ""starter"", ""support_level"": ""standard"", ""account_manager"": ""Morgan Davis"", ""region"": ""central"", ""priority"": 1}",Morgan Davis,1,central,standard,starter,Biotech Research Lab #12,2024-02-24T00:00:00Z
